"Z" "D" "Y"
"143" 0 0 1
"144" 0 0 0
"145" 0 0 1
"146" 0 0 1
"147" 0 0 1
"148" 0 0 1
"149" 0 0 1
"150" 0 0 0
"151" 0 0 0
"152" 0 0 1
"153" 0 0 1
"154" 0 0 1
"155" 0 0 1
"156" 0 0 1
"157" 0 0 1
"158" 0 0 1
"159" 0 0 1
"160" 0 0 1
"161" 0 0 1
"162" 0 0 1
"163" 0 0 1
"164" 0 0 1
"165" 0 0 1
"166" 0 0 1
"167" 0 0 1
"168" 0 0 1
"169" 0 0 0
"170" 0 0 1
"171" 0 0 0
"172" 0 0 0
"173" 0 0 0
"174" 0 0 0
"175" 0 0 0
"176" 0 0 0
"177" 0 0 0
"178" 0 0 0
"179" 0 0 0
"180" 0 0 0
"181" 0 0 0
"182" 0 0 0
"183" 0 0 0
"184" 0 0 0
"185" 0 0 0
"186" 0 0 0
"187" 0 0 0
"188" 0 0 0
"189" 0 0 0
"190" 0 0 0
"191" 0 0 0
"192" 0 0 0
"193" 0 0 0
"194" 0 0 0
"195" 0 0 0
"196" 0 0 1
"197" 0 0 0
"198" 0 0 1
"199" 0 0 0
"200" 0 0 1
"201" 0 0 0
"202" 0 0 1
"203" 0 0 1
"204" 0 0 0
"205" 0 0 1
"206" 0 0 1
"207" 0 0 1
"208" 0 0 1
"209" 0 0 1
"210" 0 0 1
"211" 0 0 1
"212" 0 0 0
"213" 0 0 0
"214" 0 0 1
"215" 0 0 0
"216" 0 0 1
"217" 0 0 0
"218" 0 0 1
"219" 0 0 1
"220" 0 0 0
"221" 0 0 1
"222" 0 0 1
"223" 0 0 0
"224" 0 0 1
"225" 0 0 0
"226" 1 1 1
"227" 1 1 1
"228" 1 1 1
"229" 1 1 1
"230" 1 1 0
"231" 1 1 1
"232" 1 1 1
"233" 1 1 1
"234" 1 1 1
"235" 1 1 0
"236" 1 1 0
"237" 1 1 1
"238" 1 1 1
"239" 1 1 1
"240" 1 1 1
"241" 1 1 1
"242" 1 1 1
"243" 1 1 1
"244" 1 1 1
"245" 1 0 0
"246" 1 1 1
"247" 1 1 1
"248" 1 0 0
"249" 1 0 0
"250" 1 0 0
"251" 1 1 1
"252" 1 1 1
"253" 1 1 1
"254" 1 0 0
"255" 1 1 1
"256" 1 0 0
"257" 1 1 1
"258" 1 0 0
"259" 1 1 1
"260" 1 1 1
"261" 1 1 0
"262" 1 0 0
"263" 1 1 1
"264" 1 1 1
"265" 1 1 1
"266" 1 1 1
"267" 1 1 1
"268" 1 1 0
"269" 1 1 1
"270" 1 1 1
"271" 1 0 1
"272" 1 1 1
"273" 1 0 0
"274" 1 1 1
"275" 1 1 1
"276" 1 0 1
"277" 1 1 1
"278" 1 1 1
"279" 1 1 1
"280" 1 1 1
"281" 1 0 0
"282" 1 0 0
"283" 1 0 1
"284" 1 1 1
"285" 1 1 1
"286" 1 1 1
"287" 1 1 1
"288" 1 1 1
"289" 1 1 1
"290" 1 1 1
"291" 1 0 0
"292" 1 1 1
"293" 1 1 1
"294" 1 1 1
"295" 1 1 1
"296" 1 1 1
"297" 1 0 0
"298" 1 1 1
"299" 1 1 1
"300" 1 1 1
"301" 1 1 1
"302" 1 1 1
"303" 1 1 1
"304" 1 1 0
"305" 1 1 1
"306" 1 1 1
"307" 1 1 1
"308" 1 0 1
"309" 1 1 0
"310" 1 1 0
"311" 1 1 1
"312" 1 0 1
"313" 1 1 1
"314" 1 1 1
"315" 1 1 1
"316" 1 0 0
"317" 1 1 1
"318" 1 1 1
"319" 1 1 1
"320" 1 1 1
"321" 1 0 0
"322" 1 1 1
"323" 1 0 1
"324" 1 0 1
"325" 1 1 1
"326" 1 1 1
"327" 1 1 1
"328" 1 1 1
"329" 1 1 1
"330" 1 1 1
"331" 1 1 1
"332" 1 1 1
"333" 1 1 1
"334" 1 1 0
"335" 1 1 1
"336" 1 1 1
"337" 1 1 1
"338" 1 0 1
"339" 1 1 0
"340" 1 1 1
"341" 1 1 1
"342" 1 1 1
"343" 1 1 1
"344" 1 0 0
"345" 1 0 1
"346" 1 1 1
"347" 1 1 1
"348" 1 1 0
"349" 1 1 1
"350" 1 1 1
"351" 1 1 1
"352" 1 1 1
"353" 1 1 1
"354" 1 1 1
"355" 1 0 1
"356" 1 1 1
"357" 1 1 1
"358" 1 0 1
"359" 1 0 1
"360" 1 1 1
"361" 1 1 1
"362" 1 1 1
"363" 1 0 1
"364" 1 1 1
"365" 1 1 1
"366" 1 0 0
"367" 1 1 1
"368" 1 1 1
"369" 1 1 1
"370" 1 1 1
"371" 1 0 0
"372" 1 1 1
"373" 1 1 1
"374" 1 1 1
"375" 1 1 1
"376" 1 1 1
"377" 1 1 1
"378" 1 0 1
"379" 1 0 0
"380" 1 1 1
"381" 1 0 0
"382" 1 0 1
"383" 1 1 1
"384" 1 1 1
"385" 1 1 1
"386" 1 0 0
"387" 1 1 1
"388" 1 0 1
"389" 1 1 0
"390" 1 1 1
"391" 1 1 1
"392" 1 0 0
"393" 1 0 1
"394" 1 0 0
"395" 1 1 1
"396" 1 1 1
"397" 1 0 1
"398" 1 1 1
"399" 1 1 0
"400" 1 1 1
"401" 1 1 1
"402" 1 1 1
"403" 1 1 1
"404" 1 1 1
"405" 1 1 1
"406" 1 0 0
"407" 1 0 0
"408" 1 1 1
"409" 1 1 1
"410" 1 0 1
"411" 1 1 1
"412" 1 1 1
"413" 1 1 1
"414" 1 1 1
"415" 1 1 1
"416" 1 1 1
"417" 1 0 0
"418" 1 0 1
"419" 1 0 1
"420" 1 0 0
"421" 1 0 0
"422" 1 1 1
"423" 1 1 1
"424" 1 0 1
"425" 1 1 1
"426" 1 1 1
"427" 1 0 1
"428" 1 1 1
"429" 1 1 1
